No,テーマ,冒頭1行案,身近さ接続,仕組みのポイント,感情的締め案,難易度,出典メモ,ステータス,追加日
18,太陽系の質量分布 × 「惑星たちの存在感」,実は、太陽系の質量の99.8%は太陽一個で占める。,「8つの惑星が並ぶ太陽系」という教科書のイメージ,太陽の質量は地球の33万倍。8惑星・小惑星・彗星をすべて足しても太陽系全体の質量の0.2%しかない。惑星たちは「おまけ」に等しい。,太陽系は、太陽と、ほぼゴミ。でもそのゴミに生命がいる。,易,https://science.nasa.gov/sun/facts/,使用済み,2026-04-23
19,銀河横断 × 光速でも10万年,実は、光の速さで走り続けても天の川銀河を渡りきれない。,「光速＝最速」「宇宙旅行が実現したら…」というSF的な夢,天の川銀河の直径は約10万光年。光速（秒速約30万km）で飛んでも横断に10万年かかる。人類が観測できる宇宙の直径はその930倍。,最速で10万年かかる「地元の銀河」。宇宙のスケールは想像を超え続ける。,易,https://www.skyatnightmagazine.com/space-science/facts-about-astronomy-space,未使用,2026-04-23
20,月の光は過去のもの × 「今見ている」という感覚,実は、今見ている月は「1.3秒前の月」だ。,夜空の月・「今この瞬間を見ている」という感覚,月まで約38万km。光の速さでも約1.3秒かかるため、私たちが見る月の姿は1.3秒前のもの。太陽なら8分前、最も近い恒星でも4.2年前。,夜空を見上げるたびに、私たちはいつも「過去」を見ている。,易,https://facts.uk/facts-about-light/,ボツ,2026-04-23
21,地球の磁場 × 大気と生命,実は、地球の磁場がなければ大気はとっくに吹き飛んでいた。,「空気があるのが当たり前」という感覚,太陽風（荷電粒子の流れ）は大気を少しずつ削り取る。火星は磁場を失った結果、大気が薄くなり液体の水も消えた。地球の磁場はいわば「見えないバリアシールド」。,今この瞬間も磁場が太陽風を跳ね返している。それで私たちは生きている。,中,https://science.nasa.gov/earth/,未使用,2026-04-23
22,太陽光子の旅 × 時間感覚,実は、いま地球に届く太陽の光は、太陽の中で生まれてから数万〜数十万年かかって表面に出てきたものだ。,毎朝感じる太陽の温かさが、実は何万年越しの旅の末,核融合で生まれた光子は、超高密度の太陽内部で無数の粒子にぶつかり続け（ランダムウォーク）、表面に出るまで数万〜数十万年を要する。その後、地球まではたった8分。,太陽の光は「今日の光」じゃなかった。,中,nazology.kusuguru.co.jp「太陽光は17万年前の光」/ NASA photon random walk,ボツ,2026-04-23
23,太陽と月の見かけのサイズ × 宇宙の偶然,実は、太陽と月が空で同じ大きさに見えるのは、宇宙規模の「偶然の一致」だ。,皆既日食で月が太陽をぴったり隠す光景は、この偶然なしに起きない,太陽の直径は月の約400倍だが、地球からの距離も約400倍遠い。だから見かけの大きさがほぼ同じになる。太陽系の他の惑星ではこの一致は起きない。,皆既日食は、宇宙の偶然が作り出した奇跡の演出だ。,易,BBC Sky at Night「Space facts」/ NASA eclipse geometry,使用済み,2026-04-23
24,彗星の尾の向き × 常識の逆,実は、彗星の尾は「進行方向の後ろ」ではなく、常に太陽と反対側を向いている。,走れば髪がなびく、という直感が完全に裏切られる,彗星の尾は太陽風と放射圧によって太陽と逆の方向へ吹き飛ばされる。そのため太陽から遠ざかるときは、尾が進行方向の前になる。,宇宙で「風」は太陽から吹いている。,易,BBC Sky at Night / dummies.com「Strange astronomy facts」,使用済み,2026-04-23
25,宇宙の組成 × 目に見えるものの少なさ,実は、宇宙に存在する全物質のうち、原子でできた「普通の物質」はたった5%だ。,星も地球も人体も、宇宙全体のほんのかけら,残りの27%は正体不明の暗黒物質、68%は空間を押し広げる暗黒エネルギー。どちらも直接検出されておらず、その正体は未解明。,私たちが「見えている宇宙」は、本当の宇宙の5%の話をしているにすぎない。,中,NASA Dark Energy / ESA Planck mission,未使用,2026-04-23
26,銀河中心のガス雲 × 日常の味覚,実は、天の川銀河の中心付近に広がる巨大なガス雲には、ラム酒の香り成分が含まれている。,バーカウンターのあの甘い香りが、宇宙規模で存在する,射手座Bというガス雲にギ酸エチル（ethyl formate）が検出されており、この物質はラム酒の香りの主成分。宇宙空間でも有機化学反応が起きている証拠。,宇宙はラム酒の香りがするらしい。,中,BBC Sky at Night / 2009年の観測（IRAM望遠鏡）,使用済み,2026-04-23
27,ニュートリノ × 体を突き抜ける粒子,実は、いまこの瞬間も、毎秒約700億個のニュートリノが1cm²あたりあなたの体を通り抜けている。,何も感じないのに、桁外れの数の粒子が全身を貫通し続けている,ニュートリノはほとんどの物質と反応しない。太陽から毎秒大量に放出され、地球も人体もほぼ透明に貫通する。,体はいつも、宇宙の洪水の中にいる。,難,IceCube Neutrino Observatory / 太陽ニュートリノフラックス,使用済み,2026-04-23
28,腸の「第二の脳」× 幸福感の源,実は、「幸せホルモン」と呼ばれるセロトニンの約90%は、脳ではなく腸で作られている。,緊張するとお腹が痛くなる、あの感覚の正体,腸には約1億個の神経細胞があり「腸管神経系」と呼ばれる。セロトニンは腸の運動調節に使われており、感情状態にも影響を与えることがわかってきた。,直感（gut feeling）は、文字通り腸から来ている。,易,Northwestern Medicine / bebrainfit.com「Human brain facts」,未使用,2026-04-23
29,脳に痛覚がない × 意識ある手術,実は、脳自体には痛みを感じる神経がない。だから脳手術は、患者が目を覚ました状態で行われることがある。,頭痛は脳が痛いのではなく、血管や筋肉が痛んでいる,脳実質には侵害受容器（痛覚受容体）が存在しない。覚醒下手術（Awake Surgery）では、言語機能などをリアルタイムに確認しながら患部を除去する。,自分の脳が切られているのに、会話できる。人体の設計は不思議すぎる。,中,University of Plymouth「Myths of the brain」/ Washington State University 2025,使用済み,2026-04-23
30,体の中の細菌の数 × 自分とは何か,実は、人体に住む細菌の数は、体の細胞の数とほぼ同じくらいある。,自分の体の「主役」が誰なのか、揺らいでくる,体内細菌は約38〜39兆個、ヒト細胞は約30兆個。ただし細菌は極めて小さいため体重の1〜3%にすぎない。腸内細菌は免疫・代謝・神経にも影響を及ぼす。,私たちは人間であると同時に、巨大な「細菌の宿」だ。,易,bebrainfit.com / Sender et al. 2016「Cell」誌,未使用,2026-04-23
31,植物の化学コミュニケーション × 叫び声,実は、植物は害虫にかじられると、揮発性の化学物質を空中に放出して隣の植物に「敵が来た」と警告する。,公園の木々が静かに見えても、目に見えない会話をしている,被食植物はサリチル酸メチルなどの揮発性有機化合物を放出する。これを受け取った周囲の植物は苦味成分や防虫物質を増やして防衛態勢をとる。,植物は声を持っていた。ただ私たちに聞こえなかっただけだ。,中,家庭教師ファースト「生物雑学」/ 植物化学コミュニケーション研究,未使用,2026-04-23
32,DNAの難燃性 × 生命の素材,実は、DNAは天然の難燃剤として機能する。,生命の設計図が、火を防ぐ盾にもなっていた,DNAを加熱すると、リン酸骨格が分解されてリン酸が生成され、これが化学的に水分子を除去して炎に強い炭素層を作る。この性質を利用した綿素材のコーティング研究も進んでいる。,命の分子が、炎から命を守る。,難,zmescience.com「Amazing Chemistry Facts」/ Alongi et al.「DNA flame retardant」研究,未使用,2026-04-23
33,歯のエナメル質 × 最硬組織,実は、人体で最も硬い組織は骨ではなく、歯のエナメル質だ。,毎日使っているあの白い表面が、体最強の素材,エナメル質の硬度はモース硬度5〜6で、骨（4〜5）を上回る。しかし一度削れると自己修復できない。骨は細胞が再生できるが、エナメル質は成熟後に形成細胞（エナメル芽細胞）が消滅するため。,体最強の素材を、毎日酷使しながら生きている。,易,歯科医学基礎知識 / list25.com「Weird Human Body Facts」,未使用,2026-04-23
34,深海の赤い生き物 × 光の吸収,実は、深海では赤い生き物は黒く見える。,魚屋・水族館で見る赤い魚の体色,物が「赤く見える」のは、光に含まれる赤色成分が反射されて目に入るから。だが太陽光のうち赤色成分は水中で最も早く吸収され、深海にはほとんど届かない。反射すべき赤い光が存在しないので、赤い体色の生物は黒っぽく・暗く見える。,深海では「赤」が最強の保護色になる。バグった海すぎる。,易,ユーザー提供（光の波長吸収・体色見え方）,未使用,2026-05-01
